,ECODe,IForest,OCSVM,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,SOD,PCA,CBLOF
"('adbench\\datasets\\Classical\\15_Hepatitis.npz', 1)",0.6845238095238095,0.6333333333333333,0.6019230769230769,0.6575757575757576,0.7875,0.6575757575757576,0.6291666666666667,0.550595238095238,0.37499999999999994,0.6875,0.25608974358974357,0.6950757575757576,0.7361111111111112
"('adbench\\datasets\\Classical\\45_wine.npz', 1)",0.7916666666666666,0.4797979797979798,0.6805555555555556,0.7,0.4444444444444444,0.25114942528735634,0.38888888888888884,0.8055555555555556,0.5353535353535354,0.8055555555555556,0.09603174603174602,0.5317460317460317,0.8055555555555556
"('adbench\\datasets\\Classical\\21_Lymphography.npz', 1)",0.5,0.8333333333333333,0.5833333333333333,0.75,1.0,1.0,1.0,0.8333333333333333,0.04390681003584229,0.75,1.0,0.8333333333333333,0.8333333333333333
"('adbench\\datasets\\Classical\\46_WPBC.npz', 1)",0.3977687271742131,0.31787348129646376,0.3878078451547131,0.3495256757877109,0.3851356307192544,0.2984544379737325,0.3677865574006127,0.4472501981430552,0.43062605759718336,0.44642585008529656,0.4209588610011542,0.3948511493049308,0.42602480095090933
"('adbench\\datasets\\Classical\\14_glass.npz', 1)",0.14822510822510823,0.14575098814229248,0.08599537037037036,0.1563352826510721,0.15873015873015872,0.13593813593813595,0.17678571428571427,0.21574074074074073,0.10905695611577965,0.09759570494864613,0.1204780361757106,0.11823361823361823,0.19907407407407407
"('adbench\\datasets\\Classical\\42_WBC.npz', 1)",0.5317460317460317,0.7222222222222222,0.33730158730158727,0.5777777777777777,0.5555555555555556,0.5555555555555556,0.5333333333333333,0.3873015873015873,0.42063492063492064,0.4027777777777778,0.7083333333333333,0.5916666666666666,0.41111111111111115
"('adbench\\datasets\\Classical\\39_vertebral.npz', 1)",0.19235660882933223,0.12269998935726814,0.11629647085702505,0.14089946852467086,0.09850613865026395,0.1247482570159467,0.09838053109982936,0.13521898301434762,0.10381937238869227,0.1522468530208468,0.10751057178270672,0.10926278578056686,0.16839163654381045
"('adbench\\datasets\\Classical\\18_Ionosphere.npz', 1)",0.9638533244433976,0.8470072313166918,0.9056372837958544,0.740965971210724,0.6155341249750723,0.6633822641942728,0.4460487911620638,0.9710885375750349,0.6920181152926066,0.9226161814740726,0.8312910334952681,0.8321343809059079,0.9728012232271614
"('adbench\\datasets\\Classical\\37_Stamps.npz', 1)",0.35450697450697455,0.43899755638886073,0.36763818147519334,0.3407692531775991,0.6138768638768639,0.468742042271454,0.5258957092290426,0.41149606566273234,0.28637678515239734,0.3472474428958777,0.3205905474670607,0.41015795206971684,0.39318066905898374
"('adbench\\datasets\\Classical\\43_WDBC.npz', 1)",0.8055555555555556,0.9166666666666665,1.0,0.8333333333333333,1.0,0.8333333333333333,0.9166666666666665,0.9166666666666665,0.8666666666666667,1.0,0.33134920634920634,1.0,0.9166666666666665
"('adbench\\datasets\\Classical\\4_breastw.npz', 1)",0.9650490531996774,0.9876354262097794,0.9857385674063085,0.28542175021597865,0.9879882115173775,0.9880345489858993,0.9863973244003861,0.982370008758936,0.9519945439739221,0.8203312476387694,0.8305493607957746,0.9750793348854788,0.9861274177266175
"('adbench\\datasets\\Classical\\29_Pima.npz', 1)",0.4535778128820609,0.4933811207653726,0.447116423349296,0.42880740890423247,0.48065765823671414,0.4745903549813684,0.5267252575347695,0.4803561829311911,0.41403016070960524,0.43901920090367913,0.45318065547919856,0.46932356517870266,0.44585925511065855
"('adbench\\datasets\\Classical\\47_yeast.npz', 1)",0.2908627789640014,0.3029283333696948,0.2820740779075547,0.30179141004121957,0.3143885471664199,0.34327908258821277,0.3370795185043179,0.3098947945972623,0.31911407250847523,0.3151058564268646,0.29261401101225526,0.2876488255241114,0.3100668497815281
"('adbench\\datasets\\Classical\\40_vowels.npz', 1)",0.7009854240091599,0.1771160823302207,0.08696417605322128,0.5144758982585995,0.040071928157073874,0.10590067589378943,0.20532831129079016,0.6527092666738626,0.2563532276407658,0.655295411351863,0.25328855322244725,0.0855088449334351,
"('adbench\\datasets\\Classical\\12_fault.npz', 1)",0.47730486257459664,0.44791968408745286,0.34972107337716307,0.4130502198523201,0.3039670307408126,0.32141356099099305,0.3431877970545022,0.6341091102966647,0.29016472176881086,0.4159367533611444,0.47105523642765995,0.3625837231898702,0.44572573937848586
"('adbench\\datasets\\Classical\\20_letter.npz', 1)",0.2970046985231753,0.09030160374730337,0.07653651759973701,0.23935943207287919,0.07146071954182585,0.08445983454324998,0.08242677985373476,0.39674663281769246,0.08347130898810097,0.47889085606014653,0.4171898452007921,0.07694577923521444,0.15773726124854648
"('adbench\\datasets\\Classical\\6_cardio.npz', 1)",0.8036141385805771,0.6937961924047836,0.8944612512345284,0.3219940144799686,0.7237892536366365,0.7304427589417747,0.6355998781184571,0.829705415461697,0.7515424745361298,0.7310013203298111,0.28834908637377776,,0.8640486593937401
"('adbench\\datasets\\Classical\\17_InternetAds.npz', 1)",0.7626817548428775,0.12499569170440218,0.5194390309106947,0.3833963921584171,0.5264218597633735,0.5277627157246886,0.24941834857869233,0.6140925323350195,0.22858146670174062,0.7046247588480553,0.26923587361888957,0.4953562471410845,0.5514408167099993
"('adbench\\datasets\\Classical\\7_Cardiotocography.npz', 1)",0.6181255425346881,0.6186295068385941,0.7151155782100742,0.277313242164116,0.5746745234340903,0.6493582242372179,0.5095641557855233,0.6648266207471384,0.46566230823462174,0.6626096206250955,0.33243307174799896,,0.6528369813642328
"('adbench\\datasets\\Classical\\25_musk.npz', 1)",0.9999999999999998,0.43869835970956084,0.9999999999999998,0.05764544474127878,0.2918946108473074,0.9893281807372174,0.9999999999999999,0.9999999999999998,0.9843281807372175,0.9999999999999998,0.24428956642201594,0.9999999999999998,0.9999999999999998
"('adbench\\datasets\\Classical\\35_SpamBase.npz', 1)",0.7381396550731965,0.7942961970153616,0.688269652447125,0.3651170162563386,0.6832882829198819,0.6777957389184834,0.7383210721006199,0.7375302706700703,0.6400516188437162,0.6503182725859696,0.5108595075204974,,0.6908834595964675
"('adbench\\datasets\\Classical\\41_Waveform.npz', 1)",0.062350633290218546,0.0729781784830652,0.038876202355538514,0.11860688216886403,0.06480067842832478,0.04248671593226123,0.05663466606853801,0.25798076987314095,0.04607137069923512,0.3354341773228135,0.1192721157594338,0.05348978153134487,0.20239926468047806
"('adbench\\datasets\\Classical\\36_speech.npz', 1)",0.03457283673296403,0.03523226920781132,0.019035515261123237,0.028031790915880126,0.01973586221333397,0.01952115088519597,0.018993396885760516,0.021294448527403472,0.020839782455814648,0.02467101041766334,0.02475402842584877,0.01937606304884106,0.019734862099666593
"('adbench\\datasets\\Classical\\38_thyroid.npz', 1)",0.7181179030505533,0.769400230588797,0.4808794918577614,0.13543942572259912,0.32668297368109195,0.7285344855280317,0.7559192130107663,0.6344419608478757,0.25751761087750186,0.6251628936614292,0.2983682604246371,0.7000726964895649,0.5593623703606534
"('adbench\\datasets\\Classical\\44_Wilt.npz', 1)",0.09299921026934399,0.04496859711729374,0.03518167544467699,0.04878271007298203,0.036614669112278925,0.0378807440898215,0.03763800657359041,0.053867045279077694,0.03365017815738874,0.05492770298657822,0.057596944270709084,0.04123189422689912,0.03701664972908338
"('adbench\\datasets\\Classical\\30_satellite.npz', 1)",0.7720113446244926,0.7445524936007196,0.653032965540652,0.4262599184988086,0.6306856724108114,0.5890318461688928,0.8130143905902845,0.8173807027868647,0.7095492496454224,0.8148679633148546,0.4674747000681178,0.6667373249651234,0.7688817997582975
"('adbench\\datasets\\Classical\\27_PageBlocks.npz', 1)",0.7707558180644203,0.530681240329961,0.5652133615556981,0.4955182972189837,0.44771879141724813,0.591852989458302,0.3122627280794449,0.7680792573629417,0.49911427010490034,0.7991192142927146,0.4565163392256994,0.636746471099976,0.6055278294391585
"('adbench\\datasets\\Classical\\26_optdigits.npz', 1)",0.07214010714424618,0.11691996766521418,0.034435595311140335,0.061255448573970264,0.04949544606643885,0.03857910592203405,0.11800169558535772,0.8887045399699641,0.02981449870972057,0.8573210178635746,0.045530913359025836,,0.09662188534060934
"('adbench\\datasets\\Classical\\19_landsat.npz', 1)",0.21876221229689538,0.31611133860342083,0.17525403842971965,0.23713162524647047,0.1988541633872319,0.18404787347225562,0.3747411284439439,0.4563870381237586,0.19858962021323753,0.5903371154628588,0.27331901936943526,0.18106820263805937,0.3087495036535642
"('adbench\\datasets\\Classical\\31_satimage-2.npz', 1)",0.6620075634842331,0.8529348349026221,0.890619460165719,0.10520240743066034,0.5726278083838254,0.7718990382090821,0.8189606994929126,0.9690476190476192,0.9418820140534607,0.91670774953917,0.18181442117573263,0.9061499852466239,0.9532221490746837
"('adbench\\datasets\\Classical\\28_pendigits.npz', 1)",0.10034507442898025,0.38374656555643066,0.24634908237348188,0.021785210331883714,0.21677261671008588,0.30982934169765103,0.31909760095464035,0.8883050733308645,0.20356097741117984,0.8308350063519818,0.03744225921374912,0.239482333589035,0.348580794509524
"('adbench\\datasets\\Classical\\2_annthyroid.npz', 1)",0.4096888991245456,0.5417503148064405,0.21554241224146375,0.19262340769469696,0.2258263802458226,0.35158082788694794,0.28801074276583805,0.4329407230835398,0.09878438451444153,0.5566325051620714,0.2948822087019468,0.4196567359321607,0.2608198747805418
"('adbench\\datasets\\Classical\\24_mnist.npz', 1)",0.6119980663313485,0.45334331383852283,0.5258203746328325,0.33080638770159854,0.27741570856909614,0.21205282084175395,0.15088869404244676,0.6532984028316161,0.43270580236103773,0.7321051218981058,0.3410497711728598,,0.4751388527386478
"('adbench\\datasets\\Classical\\23_mammography.npz', 1)",0.45866596562038403,0.29894490084733816,0.37119702491912915,0.10097085110361147,0.5436890607532877,0.5478425795461777,0.22792525913656433,0.42123208771566734,0.04288484560504411,0.28015057233984486,0.15112980264585466,0.39318750484874226,0.3046357170995205
"('adbench\\datasets\\Classical\\22_magic.gamma.npz', 1)",0.7494370346499543,0.6957293069602574,0.6297745208339114,0.5251454730326657,0.6105125043345192,0.5632561348282397,0.6516030183446131,0.8053655868572412,0.6309426097390118,0.7613532138087974,0.6813813225186924,0.6372545551245561,0.7366644102696195
"('adbench\\datasets\\Classical\\5_campaign.npz', 1)",0.3578752401705653,0.2923851000644282,0.29151893906208237,0.13058917861411196,0.3680378626502883,0.35839630045248555,0.36910997511106874,0.30555805007717235,0.20568651337623892,0.14082689621172692,0.1896839016075578,,0.22773165046424437
"('adbench\\datasets\\Classical\\32_shuttle.npz', 1)",0.9668118577701501,0.9803510806571647,0.9633515612942002,0.11028167248964782,0.9719694075673699,0.9725325925176816,0.984248879153753,0.9921304070390722,0.9608042379571168,0.9673827105515629,0.1861456219706309,0.9339904745723656,0.9702447944806665
"('adbench\\datasets\\Classical\\1_ALOI.npz', 1)",0.03982475790731413,0.03366244013471002,0.05300764059693579,0.09539899047354004,0.030929790588208418,0.03247439851413379,0.03396333512874114,0.08668687035078532,0.032455087988401486,0.10869593328955648,0.09111790739294937,0.03774471840169517,0.04411003031753842
"('adbench\\datasets\\Classical\\3_backdoor.npz', 1)",0.8531700144545856,0.04813671916120461,0.11226419639611848,0.16274975236136402,0.08783878575045863,0.11173066155174512,0.036452407210720156,0.872530770990165,0.06581334783118885,0.5961647743452837,0.3500653759968021,,0.0833415620590447
"('adbench\\datasets\\Classical\\34_smtp.npz', 1)",0.7779028462781788,0.004960844039424139,0.6772727944545203,0.04331304726974104,0.006688301021301911,0.679650322695149,0.19094497034206415,0.7780700810499372,0.012795899736932143,0.07311797131182339,0.48843990276581983,0.7778885933773213,0.7099997062521701
"('adbench\\datasets\\Classical\\8_celeba.npz', 1)",0.08760555158100783,0.06558412595501903,0.08689221535709361,,0.10461626983575191,0.10800817564784965,0.10843999803145737,0.03369856863412319,0.04027605484508047,0.018314561814313672,0.023190403249265853,0.1272206394177919,0.06151841464021003
"('adbench\\datasets\\Classical\\33_skin.npz', 1)",0.38462318747240465,0.4857391286840851,0.2636518863098323,,0.27155328463776596,0.2026408655687272,0.3795521799811634,0.9917284642714594,0.27665628760338856,0.5846930983314371,0.2861633790245999,0.1976069285538502,0.6215358356224855
"('adbench\\datasets\\Classical\\10_cover.npz', 1)",0.32664058517031264,0.07397946064426178,0.17060384906880963,,0.09053420968600726,0.14409771799215024,0.03658093339637158,0.8158714007624261,0.2538718981191283,0.8423819488994878,0.019357797446042928,0.08651105828360275,0.0742721092600138
"('adbench\\datasets\\Classical\\13_fraud.npz', 1)",0.09461630852512774,0.19597859824692204,0.5116553699164799,,0.31445951735731076,0.2979552180058447,0.2709968811808873,0.4728896618563231,0.25196101671676724,0.0033171621838580002,0.0447457340260938,0.1970966891273779,0.512200605898294
"('adbench\\datasets\\Classical\\9_census.npz', 1)",0.1202828612475734,0.08564449294303254,0.06467514340103421,,0.09286065970762902,0.08942293650670227,0.08283698567013764,0.08880710079917616,0.057645531095213365,0.062400092028342666,0.0860527399073821,,0.07096881500713537
"('adbench\\datasets\\Classical\\16_http.npz', 1)",0.983047617309516,0.2886769258716971,0.42090897268403,,0.06751707332391468,0.24922543552664045,0.7826199838329563,0.9842254577739248,0.0038009546463714564,0.044103793169410106,0.02094277537193333,0.8472485380079922,0.41986814752729923
"('adbench\\datasets\\Classical\\11_donors.npz', 1)",0.2565278419610774,0.23745063462743804,0.1977043122786065,,0.2554873503359698,0.3193377610933458,0.18478588157613995,0.9988766021191884,0.05397688399556559,0.8077133428719077,0.08533900774310839,0.22285066576179585,0.28361799555800227
