,ECODe,IForest,OCSVM,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,SOD,PCA,CBLOF
"('adbench\\datasets\\Classical\\15_Hepatitis.npz', 1)",0.9125,0.825,0.8375,0.875,0.9125,0.875,0.8125,0.8375,0.775,0.875,0.6625000000000001,0.8875,0.9
"('adbench\\datasets\\Classical\\45_wine.npz', 1)",0.9537037037037037,0.9074074074074074,0.9444444444444445,0.9629629629629629,0.8425925925925926,0.7037037037037037,0.8333333333333333,0.9814814814814815,0.8888888888888888,0.9814814814814815,0.4537037037037037,0.9444444444444444,0.9814814814814815
"('adbench\\datasets\\Classical\\21_Lymphography.npz', 1)",0.9651162790697675,0.9883720930232558,0.9825581395348837,0.9767441860465117,1.0,1.0,1.0,0.9883720930232558,0.2558139534883721,0.9767441860465117,1.0,0.9883720930232558,0.9883720930232558
"('adbench\\datasets\\Classical\\46_WPBC.npz', 1)",0.5993788819875776,0.6335403726708074,0.6180124223602484,0.6940993788819876,0.7267080745341614,0.6055900621118012,0.7127329192546583,0.7236024844720497,0.7065217391304348,0.7065217391304347,0.7531055900621119,0.6350931677018633,0.6599378881987578
"('adbench\\datasets\\Classical\\14_glass.npz', 1)",0.8010752688172043,0.8064516129032259,0.5376344086021505,0.8064516129032258,0.8010752688172043,0.7795698924731183,0.8440860215053763,0.8870967741935484,0.7473118279569892,0.43010752688172044,0.6935483870967742,0.7096774193548387,0.8763440860215054
"('adbench\\datasets\\Classical\\42_WBC.npz', 1)",0.96875,0.9791666666666666,0.9427083333333334,0.953125,0.9739583333333334,0.9739583333333334,0.9739583333333334,0.953125,0.9583333333333334,0.953125,0.890625,0.9583333333333334,0.9583333333333334
"('adbench\\datasets\\Classical\\39_vertebral.npz', 1)",0.5379188712522045,0.455026455026455,0.4479717813051146,0.44620811287477957,0.3333333333333333,0.472663139329806,0.3333333333333333,0.45502645502645506,0.37389770723104054,0.45326278659611996,0.3386243386243386,0.40388007054673725,0.5714285714285714
"('adbench\\datasets\\Classical\\18_Ionosphere.npz', 1)",0.9736842105263158,0.9020897832817337,0.9241486068111455,0.8061145510835913,0.7472910216718266,0.7387770897832817,0.6567337461300309,0.983359133126935,0.838235294117647,0.9570433436532508,0.8382352941176471,0.8738390092879257,0.983359133126935
"('adbench\\datasets\\Classical\\37_Stamps.npz', 1)",0.8853046594982078,0.935483870967742,0.8972520908004779,0.7694145758661888,0.965352449223417,0.8924731182795698,0.9522102747909199,0.9199522102747909,0.8661887694145758,0.8661887694145759,0.7228195937873357,0.9283154121863799,0.8924731182795699
"('adbench\\datasets\\Classical\\43_WDBC.npz', 1)",0.9938271604938271,0.9969135802469136,1.0,0.9907407407407407,1.0,0.9907407407407407,0.9969135802469136,0.9969135802469136,0.9938271604938271,1.0,0.962962962962963,1.0,0.9969135802469136
"('adbench\\datasets\\Classical\\4_breastw.npz', 1)",0.9836048454469508,0.993734335839599,0.9925856307435255,0.41311612364243944,0.9939431913116125,0.9939431913116125,0.9936299081035923,0.9910192147034252,0.9847535505430242,0.9500835421888054,0.9365079365079366,0.9880952380952381,0.9927944862155388
"('adbench\\datasets\\Classical\\29_Pima.npz', 1)",0.6490534979423868,0.6940740740740741,0.6565432098765431,0.6037037037037036,0.6548971193415639,0.6255144032921812,0.6871604938271606,0.6848559670781893,0.6330864197530864,0.6493827160493827,0.5819753086419753,0.6632098765432098,0.6308641975308641
"('adbench\\datasets\\Classical\\47_yeast.npz', 1)",0.4089240959541711,0.38625581811672033,0.37426154672395273,0.4295336555674901,0.3833243823845328,0.4322413175796634,0.40034237379162196,0.4247001432151808,0.45936269244539923,0.4516424991049051,0.4111282670963122,0.39509488005728605,0.4574606158252775
"('adbench\\datasets\\Classical\\40_vowels.npz', 1)",0.9434439178515008,0.8399684044233808,0.6311216429699842,0.9116903633491311,0.5140600315955766,0.6451816745655609,0.7358609794628751,0.984044233807267,0.7347551342812007,0.9676145339652449,0.9238546603475513,0.6537124802527647,
"('adbench\\datasets\\Classical\\12_fault.npz', 1)",0.654816662768639,0.6205919804578883,0.46925755567682753,0.6207349081364829,0.43605935396689277,0.46116265169824067,0.5018450663964034,0.8116992801642369,0.40577167953015775,0.6389776772952885,0.6853901925625634,0.5042098698058783,0.6728645305475429
"('adbench\\datasets\\Classical\\20_letter.npz', 1)",0.8393333333333334,0.6103703703703703,0.4882222222222222,0.8556296296296296,0.5583703703703703,0.594,0.5721481481481482,0.894074074074074,0.5599259259259259,0.8641481481481481,0.8931851851851852,0.5371851851851852,0.7231851851851853
"('adbench\\datasets\\Classical\\6_cardio.npz', 1)",0.9655290231957785,0.9541399339432823,0.9877377472381459,0.6435974336585552,0.9526593523404578,0.9624539690976044,0.885235943965681,0.9769560760791163,0.9672753502144945,0.9603280057704718,0.7320147298887666,,0.9772977487566911
"('adbench\\datasets\\Classical\\17_InternetAds.npz', 1)",0.8644223484848484,0.2767992424242425,0.6691761363636364,0.6272916666666667,0.6747159090909092,0.6763257575757575,0.4942518939393939,0.7722632575757575,0.46937500000000004,0.8350568181818182,0.6249053030303031,0.7365435606060606,0.6861742424242424
"('adbench\\datasets\\Classical\\7_Cardiotocography.npz', 1)",0.7733910533910534,0.8324819624819625,0.8696392496392497,0.5084559884559885,0.7960750360750362,0.8538961038961038,0.7321356421356422,0.8089754689754689,0.7228427128427128,0.8337229437229439,0.5432034632034631,,0.803030303030303
"('adbench\\datasets\\Classical\\25_musk.npz', 1)",1.0,0.9604029445951181,1.0,0.4510654784967067,0.9368849283223557,0.9995350639287098,1.0,1.0,0.9991476172026347,1.0,0.8930647036032545,1.0,1.0
"('adbench\\datasets\\Classical\\35_SpamBase.npz', 1)",0.8148670974757931,0.8400255139385575,0.7735794801012192,0.4103456929543886,0.762153104544409,0.7498719074806031,0.8091460672982412,0.816197691197691,0.7129655770960119,0.7961342200472635,0.6382902524206872,,0.7729102620406967
"('adbench\\datasets\\Classical\\41_Waveform.npz', 1)",0.6361581920903954,0.7628115653040879,0.5426055167829844,0.7468926553672316,0.7308075772681955,0.6011299435028249,0.6727816550348953,0.8361249584579594,0.5525756065137919,0.8505151213027584,0.680325689597873,0.6398471252907942,0.8115320704553008
"('adbench\\datasets\\Classical\\36_speech.npz', 1)",0.5570874183006536,0.48943014705882354,0.49101307189542487,0.5782781862745098,0.5313521241830066,0.49994893790849676,0.49560866013071897,0.5244587418300654,0.5450878267973855,0.5318627450980391,0.532015931372549,0.5010723039215687,0.4989787581699346
"('adbench\\datasets\\Classical\\38_thyroid.npz', 1)",0.9860571946169772,0.9911361283643892,0.9468491200828157,0.8297424948240165,0.9664855072463768,0.9890980848861284,0.989356884057971,0.9820781573498963,0.8701475155279503,0.9778079710144929,0.958203933747412,0.9859277950310559,0.9750258799171841
"('adbench\\datasets\\Classical\\44_Wilt.npz', 1)",0.7478963695179911,0.4587289992695398,0.3031030328327625,0.48944627323005696,0.3240017834612429,0.3540455162076784,0.3005179626801249,0.5483099807424131,0.2651712786847922,0.5519148492121465,0.543026002485462,0.4093802472180851,0.33843074383614924
"('adbench\\datasets\\Classical\\30_satellite.npz', 1)",0.7967142786291723,0.77596091851411,0.6326898279025939,0.561885632098398,0.6652445072657839,0.6170559936517384,0.8633834250855527,0.8651750731537965,0.6752901353965184,0.8393902197093687,0.6256298665873135,0.647561126816446,0.822263552050786
"('adbench\\datasets\\Classical\\27_PageBlocks.npz', 1)",0.9674317963818065,0.9241071627740971,0.9206361953199937,0.8284235651029467,0.9057128198264517,0.9339846974056973,0.833244105378215,0.9585803832340672,0.8850431640232885,0.965357246425305,0.7743871154832808,0.9373619755069263,0.9288005532133217
"('adbench\\datasets\\Classical\\26_optdigits.npz', 1)",0.8096637426900585,0.8556286549707602,0.6031871345029239,0.5160087719298246,0.7196052631578947,0.6453654970760233,0.8368567251461989,0.9975877192982456,0.5471783625730995,0.9976169590643276,0.6162865497076024,,0.870453216374269
