,ECODe,IForest,OCSVM,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,SOD,PCA,CBLOF
"('adbench\\datasets\\Classical\\15_Hepatitis.npz', 1)",2.8864681720733643,0.11159515380859375,0.0016868114471435547,0.006195783615112305,0.34615492820739746,0.0011126995086669922,3.2274622917175293,2.60548734664917,0.015187263488769531,0.003923177719116211,7.44746994972229,0.002135038375854492,1.297365427017212
"('adbench\\datasets\\Classical\\45_wine.npz', 1)",0.07959580421447754,0.11319971084594727,0.0016753673553466797,0.007648468017578125,0.0011096000671386719,0.0016541481018066406,0.0021758079528808594,0.0011250972747802734,0.009363889694213867,0.0016360282897949219,0.02356886863708496,0.0016400814056396484,0.004414558410644531
"('adbench\\datasets\\Classical\\21_Lymphography.npz', 1)",0.05668783187866211,0.10647106170654297,0.0016937255859375,0.011166572570800781,0.002231597900390625,0.001712799072265625,0.0040051937103271484,0.0039081573486328125,0.009299993515014648,0.0033288002014160156,0.013053655624389648,0.0016660690307617188,0.004409313201904297
"('adbench\\datasets\\Classical\\46_WPBC.npz', 1)",0.10078310966491699,0.10421991348266602,0.0016603469848632812,0.012103557586669922,0.0016484260559082031,0.0016758441925048828,0.005217075347900391,0.014317989349365234,0.009354352951049805,0.0033974647521972656,0.014557838439941406,0.002283811569213867,0.004490375518798828
"('adbench\\datasets\\Classical\\14_glass.npz', 1)",0.03601956367492676,0.10970091819763184,0.0022253990173339844,0.015082359313964844,0.0011055469512939453,0.001684427261352539,0.0016455650329589844,0.0016701221466064453,0.011157989501953125,0.002418041229248047,0.01848626136779785,0.0017123222351074219,0.003870248794555664
"('adbench\\datasets\\Classical\\42_WBC.npz', 1)",0.046098947525024414,0.10549712181091309,0.0016620159149169922,0.017778873443603516,0.0016531944274902344,0.0016438961029052734,0.0016715526580810547,0.0016603469848632812,0.010488748550415039,0.0016889572143554688,0.020708322525024414,0.0016789436340332031,0.003910064697265625
"('adbench\\datasets\\Classical\\39_vertebral.npz', 1)",0.03628659248352051,0.10777115821838379,0.0028295516967773438,0.016148805618286133,0.0028417110443115234,0.0011088848114013672,0.0011243820190429688,0.0017380714416503906,0.009793519973754883,0.001728057861328125,0.019802570343017578,0.0010974407196044922,0.004437446594238281
"('adbench\\datasets\\Classical\\18_Ionosphere.npz', 1)",0.1009209156036377,0.10575199127197266,0.0021865367889404297,0.018201112747192383,0.0016674995422363281,0.0016453266143798828,0.0038285255432128906,0.0038940906524658203,0.010432958602905273,0.004697084426879883,0.02164173126220703,0.00164031982421875,0.0038552284240722656
"('adbench\\datasets\\Classical\\37_Stamps.npz', 1)",0.037493228912353516,0.10908317565917969,0.004508256912231445,0.02423882484436035,0.0016570091247558594,0.0016765594482421875,0.0017168521881103516,0.001676797866821289,0.009789228439331055,0.0028433799743652344,0.026452302932739258,0.0016620159149169922,0.003919124603271484
"('adbench\\datasets\\Classical\\43_WDBC.npz', 1)",0.08051896095275879,0.10985779762268066,0.004384517669677734,0.030766963958740234,0.002269268035888672,0.0028748512268066406,0.005007505416870117,0.003877401351928711,0.011235237121582031,0.003907203674316406,0.031183958053588867,0.0018279552459716797,0.004425764083862305
