,ECODe,IForest,OCSVM,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,SOD,PCA,CBLOF
"('adbench\\datasets\\Classical\\15_Hepatitis.npz', 1)",0.006574392318725586,0.0038857460021972656,0.0,0.002822399139404297,0.0005323886871337891,0.0011196136474609375,0.0005495548248291016,0.0021581649780273438,0.0011210441589355469,0.00222015380859375,0.006171703338623047,0.0005259513854980469,0.0005555152893066406
"('adbench\\datasets\\Classical\\45_wine.npz', 1)",0.0038909912109375,0.0039103031158447266,0.0,0.0032355785369873047,0.0011034011840820312,0.0005514621734619141,0.0,0.003347635269165039,0.001722574234008789,0.0005388259887695312,0.010552406311035156,0.0,0.0006868839263916016
"('adbench\\datasets\\Classical\\21_Lymphography.npz', 1)",0.005488157272338867,0.0036821365356445312,0.0005245208740234375,0.0038568973541259766,0.0010972023010253906,0.0010900497436523438,0.0,0.00323486328125,0.0005362033843994141,0.002211332321166992,0.009315729141235352,0.0,0.0
"('adbench\\datasets\\Classical\\46_WPBC.npz', 1)",0.00928187370300293,0.004381418228149414,0.0005502700805664062,0.00655055046081543,0.001085519790649414,0.0011065006256103516,0.0,0.010324954986572266,0.0011606216430664062,0.002233743667602539,0.011039495468139648,0.0,0.0005543231964111328
"('adbench\\datasets\\Classical\\14_glass.npz', 1)",0.002245664596557617,0.004350185394287109,0.00058746337890625,0.005720376968383789,0.0010979175567626953,0.0005593299865722656,0.0,0.003290414810180664,0.0011196136474609375,0.0005679130554199219,0.0065310001373291016,0.0005512237548828125,0.0005655288696289062
"('adbench\\datasets\\Classical\\42_WBC.npz', 1)",0.002707242965698242,0.0037364959716796875,0.0005424022674560547,0.007241249084472656,0.0016279220581054688,0.0010862350463867188,0.0,0.004625797271728516,0.0011081695556640625,0.0011162757873535156,0.007735252380371094,0.0,0.0005729198455810547
"('adbench\\datasets\\Classical\\39_vertebral.npz', 1)",0.0017004013061523438,0.0038537979125976562,0.0005674362182617188,0.0066242218017578125,0.0011119842529296875,0.0011115074157714844,0.0005674362182617188,0.0038366317749023438,0.001676321029663086,0.0005528926849365234,0.007799386978149414,0.0005636215209960938,0.00054931640625
"('adbench\\datasets\\Classical\\18_Ionosphere.npz', 1)",0.009346485137939453,0.00438690185546875,0.0005500316619873047,0.012075185775756836,0.001089334487915039,0.0010793209075927734,0.0,0.0071086883544921875,0.0010967254638671875,0.003597259521484375,0.015346765518188477,0.0005471706390380859,0.0
"('adbench\\datasets\\Classical\\37_Stamps.npz', 1)",0.0032777786254882812,0.004446268081665039,0.0011036396026611328,0.011009693145751953,0.0011737346649169922,0.0010962486267089844,0.0005509853363037109,0.005570888519287109,0.001088857650756836,0.0010144710540771484,0.010740280151367188,0.0,0.0005617141723632812
"('adbench\\datasets\\Classical\\43_WDBC.npz', 1)",0.012875556945800781,0.0045244693756103516,0.0011110305786132812,0.013325214385986328,0.001123189926147461,0.002777099609375,0.0005428791046142578,0.008284330368041992,0.001089334487915039,0.0022249221801757812,0.014632701873779297,0.0005385875701904297,0.0005557537078857422
"('adbench\\datasets\\Classical\\4_breastw.npz', 1)",0.002680063247680664,0.004442691802978516,0.0016679763793945312,0.03899812698364258,0.0005462169647216797,0.0017099380493164062,0.0005407333374023438,0.011568069458007812,0.0011322498321533203,0.0010862350463867188,0.02958536148071289,0.0,0.0
"('adbench\\datasets\\Classical\\29_Pima.npz', 1)",0.0033462047576904297,0.0049343109130859375,0.0016262531280517578,0.025689363479614258,0.0010921955108642578,0.0018503665924072266,0.0,0.011556386947631836,0.002106189727783203,0.0016677379608154297,0.02580738067626953,0.0005674362182617188,0.0
"('adbench\\datasets\\Classical\\47_yeast.npz', 1)",0.003857851028442383,0.006129264831542969,0.007254600524902344,0.05673861503601074,0.0022668838500976562,0.0016391277313232422,0.0,0.029078006744384766,0.0022568702697753906,0.00376129150390625,0.07180953025817871,0.0,0.0005612373352050781
"('adbench\\datasets\\Classical\\40_vowels.npz', 1)",0.005182981491088867,0.006558895111083984,0.014832019805908203,0.058975934982299805,0.0027577877044677734,0.003299713134765625,0.0,0.027769804000854492,0.001692056655883789,0.00783228874206543,0.07123780250549316,0.0,
"('adbench\\datasets\\Classical\\12_fault.npz', 1)",0.009997844696044922,0.008444786071777344,0.014640331268310547,0.09268879890441895,0.003831624984741211,0.005208015441894531,0.0005519390106201172,0.05564141273498535,0.002206563949584961,0.0076901912689208984,0.09640717506408691,0.0005514621734619141,0.0011219978332519531
"('adbench\\datasets\\Classical\\20_letter.npz', 1)",0.01055145263671875,0.005986213684082031,0.013109445571899414,0.07377314567565918,0.003853321075439453,0.004472255706787109,0.0,0.054358720779418945,0.002233266830444336,0.006635189056396484,0.054856061935424805,0.0005254745483398438,0.0005557537078857422
"('adbench\\datasets\\Classical\\6_cardio.npz', 1)",0.006524324417114258,0.006715536117553711,0.017611980438232422,0.08285784721374512,0.003905773162841797,0.003292083740234375,0.0,0.06096982955932617,0.002214670181274414,0.008954524993896484,0.0946798324584961,,0.001123189926147461
"('adbench\\datasets\\Classical\\17_InternetAds.npz', 1)",0.45476746559143066,0.007842540740966797,0.18935108184814453,4.67004656791687,0.3392200469970703,0.34297680854797363,0.010887384414672852,0.8825469017028809,0.015729188919067383,0.02570486068725586,0.30872154235839844,0.48671793937683105,0.008754968643188477
"('adbench\\datasets\\Classical\\7_Cardiotocography.npz', 1)",0.0066263675689697266,0.007194042205810547,0.018617868423461914,0.09978723526000977,0.005288124084472656,0.0038979053497314453,0.0005571842193603516,0.07486271858215332,0.002834320068359375,0.009842395782470703,0.08604216575622559,,0.001107931137084961
"('adbench\\datasets\\Classical\\25_musk.npz', 1)",0.060010671615600586,0.009432077407836914,0.08559513092041016,1.4832582473754883,0.07099080085754395,0.06958866119384766,0.003332376480102539,0.25347208976745605,0.007085084915161133,0.008383035659790039,0.17955636978149414,0.008643627166748047,0.0027458667755126953
"('adbench\\datasets\\Classical\\35_SpamBase.npz', 1)",0.023228883743286133,0.00710749626159668,0.08187651634216309,0.3273930549621582,0.022000789642333984,0.021083354949951172,0.0011243820190429688,0.16808557510375977,0.00445246696472168,0.009380102157592773,0.22675681114196777,,0.0010936260223388672
"('adbench\\datasets\\Classical\\41_Waveform.npz', 1)",0.007791042327880859,0.007653951644897461,0.05925393104553223,0.20687127113342285,0.007706403732299805,0.007761478424072266,0.0005502700805664062,0.11693882942199707,0.0040056705474853516,0.006617546081542969,0.18134117126464844,0.0005738735198974609,0.0016703605651855469
"('adbench\\datasets\\Classical\\36_speech.npz', 1)",0.1573038101196289,0.01302337646484375,0.2184007167816162,4.481818675994873,0.19460511207580566,0.21307110786437988,0.009841680526733398,1.0168304443359375,0.007260799407958984,0.02136063575744629,0.3180975914001465,0.06585073471069336,0.004921913146972656
"('adbench\\datasets\\Classical\\38_thyroid.npz', 1)",0.003312349319458008,0.008892297744750977,0.12108349800109863,0.21749043464660645,0.0032758712768554688,0.003964662551879883,0.0005464553833007812,0.06465649604797363,0.003276824951171875,0.014290094375610352,0.16759181022644043,0.0005373954772949219,0.0016977787017822266
